proposedSlug,name,certificateNos,ministryDistricts,placeId,pricingRegion,pricingName,vitoPrice,sprinterPrice,status,reviewReasons
"day-one-beach-resort-hotel","Day One Beach Resort Hotel","20812","ALANYA","ChIJISRzG1qY3BQRq_tjH1_k5cw","alanya_merkez","Alanya merkez","75","95","ready",""
"diamond-hill-resort","DIAMOND HILL RESORT","12874","ALANYA","ChIJo8IlGQCZ3BQRJnU0-hC1RKc","alanya_merkez","Alanya merkez","75","95","ready",""
"diamore-hotel","DIAMORE HOTEL","2022-7-0091","ALANYA","ChIJlw1uVQaQwxQRJXjiLlvpMfQ","alanya_merkez","Alanya merkez","75","95","ready",""
"elysee-beach","ELYSEE BEACH","9585","ALANYA","ChIJE4NxSYWi3BQRdvNbIyeVJWw","alanya_merkez","Alanya merkez","75","95","ready",""
"elysee-rive","ELYSEE RIVE","3204","ALANYA","ChIJEeo3YF6Y3BQRX-znFYNadgA","alanya_merkez","Alanya merkez","75","95","ready",""
"en-vie-beach-otel","EN VIE BEACH OTEL","2022-7-1149","ALANYA","ChIJxWfVn3-i3BQRVZHWa601OFU","alanya_merkez","Alanya merkez","75","95","ready",""
"gardenia","GARDENİA","2455","ALANYA","ChIJCSz315qi3BQR_9sDWLLO-Fk","alanya_merkez","Alanya merkez","75","95","ready",""
"hawaii-suite-beach-otel","HAWAII SUITE BEACH OTEL","2022-7-0545","ALANYA","ChIJuW-aHl6Y3BQRm8cg6E5OeEk","alanya_merkez","Alanya merkez","75","95","ready",""
"hilal-otel","HİLAL OTEL","2022-7-0557","ALANYA","ChIJf0UNGY-i3BQRnxPQ7U5R8OA","alanya_merkez","Alanya merkez","75","95","ready",""
"hotel-ozkaymak","HOTEL ÖZKAYMAK","3073","ALANYA","ChIJGRrpPIWY3BQRCxOzOHfMWpo","alanya_merkez","Alanya merkez","75","95","ready",""
"illusion-beach-club-hotel","İLLUSİON BEACH CLUB HOTEL","2022-7-1273","ALANYA","ChIJARtI_AKj3BQRGN70Yc2ggnI","alanya_merkez","Alanya merkez","75","95","ready",""
"kadeer-hotel","KADEER HOTEL","9019","ALANYA","ChIJtVCnTGOZ3BQRh7-PKhTajN4","alanya_merkez","Alanya merkez","75","95","ready",""
"kaila-beach-hotel","KAİLA BEACH HOTEL","16205","ALANYA","ChIJq6ouu62Z3BQRmBuOsH4aqqY","alanya_merkez","Alanya merkez","75","95","ready",""
"kaila-krizantem-otel","KAİLA KRİZANTEM OTEL","4698","ALANYA","ChIJM0S4plOY3BQRKXv2fiBeUao","alanya_merkez","Alanya merkez","75","95","ready",""
"kandelor-otel","KANDELOR OTEL","19848","ALANYA","ChIJMZDcp4eY3BQRx0j6UC4YRE8","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-ada-beach-otel","KLEOPATRA ADA BEACH OTEL","3695","ALANYA","ChIJYx7HNoyi3BQRmw8phqLQfs4","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-arsi-otel","KLEOPATRA ARSİ OTEL","15354","ALANYA","ChIJ9zj9UI6i3BQRVsRT1KMjI0M","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-beach-otel","KLEOPATRA BEACH OTEL","4114","ALANYA","ChIJZ4-SjI6i3BQRCbOWThGjvTU","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-bebek-otel","KLEOPATRA BEBEK OTEL","8543","ALANYA","ChIJHzvvPJui3BQRwbUZNFCHq0g","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-carina-otel","KLEOPATRA CARINA OTEL","2022-7-0257","ALANYA","ChIJHRSqXZui3BQR33c_E7F_2to","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-life-otel","KLEOPATRA LIFE OTEL","10367","ALANYA","ChIJR2bb19uj3BQRig8nxSdrAnk","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-micador","KLEOPATRA MİCADOR","7904","ALANYA","ChIJCTkQHYWY3BQR6m17Pxmigo0","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-ramira-hotel","KLEOPATRA RAMİRA HOTEL","17085","ALANYA","ChIJHxrDsoCi3BQRUkPdgpnrmuc","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-royal-palm-otel","KLEOPATRA ROYAL PALM OTEL","11078","ALANYA","ChIJHSfADYyi3BQRzenOqFtT4Lk","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-sahara-otel","KLEOPATRA SAHARA OTEL","2022-7-0564","ALANYA","ChIJ0_wj_I6i3BQReWaUND8lLUY","alanya_merkez","Alanya merkez","75","95","ready",""
"kleopatra-smile-otel","KLEOPATRA SMİLE OTEL","26130","ALANYA","ChIJX8WLP3Gj3BQRfCO9VFordoE","alanya_merkez","Alanya merkez","75","95","ready",""
"lonicera-city-hotel","LONİCERA CİTY HOTEL","2022-7-0288","ALANYA","ChIJ2bASvoWi3BQRvvXi18BjbVE","alanya_merkez","Alanya merkez","75","95","ready",""
"merhaba-otel","MERHABA OTEL","13654","ALANYA","ChIJjSYMTmSY3BQRbQPrhAt-rdA","alanya_merkez","Alanya merkez","75","95","ready",""
"mesut-otel","MESUT OTEL","2022-7-1670","ALANYA","ChIJyb-hD1OY3BQRen29vJoAtkA","alanya_merkez","Alanya merkez","75","95","ready",""
"miss-cleopatra-hotel","MISS CLEOPATRA HOTEL","2148","ALANYA","ChIJCYVFBo-i3BQRMx9MzV6CV6E","alanya_merkez","Alanya merkez","75","95","ready",""
"midi-suites-otel","MİDİ SUİTES OTEL","2022-7-0590","ALANYA","ChIJzTgWSniZ3BQRyWrocb9b2T8","alanya_merkez","Alanya merkez","75","95","ready",""
"miray-otel","MİRAY OTEL","4579","ALANYA","ChIJX9VhHgCj3BQRreNAz_A2WP0","alanya_merkez","Alanya merkez","75","95","ready",""
"mola-otel","MOLA OTEL","2022-7-0428","ALANYA","ChIJy1Xjj5yi3BQRG30ybHKWA9U","alanya_merkez","Alanya merkez","75","95","ready",""
"monart-city-otel","MONART CITY OTEL","3139","ALANYA","ChIJEbeQUlmY3BQRLoyHlb5VpXg","alanya_merkez","Alanya merkez","75","95","ready",""
"monte-carlo","MONTE CARLO","5072","ALANYA","ChIJS9qannCY3BQRCWcOR-FQc8Y","alanya_merkez","Alanya merkez","75","95","ready",""
"moonbow-beach-hotel","MOONBOW BEACH HOTEL","23119","ALANYA","ChIJM6tELquZ3BQRVVhIP9gbamg","alanya_merkez","Alanya merkez","75","95","ready",""
"muz-otel","MUZ OTEL","2022-7-0202","ALANYA","ChIJAQAAFRuj3BQRxdIz_2QIHt4","alanya_merkez","Alanya merkez","75","95","ready",""
"novis-hotel-cleopatra","NOVİS HOTEL CLEOPATRA","6312","ALANYA","ChIJT9StywGj3BQR-JVeyrq_MEk","alanya_merkez","Alanya merkez","75","95","ready",""
"oba-star-otel-spa","OBA STAR OTEL & SPA","12951","ALANYA","ChIJsaaLblOY3BQRttAplmH1ySs","alanya_merkez","Alanya merkez","75","95","ready",""
