certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason
"2022-7-0561","RESİTALYA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ73L0XV6Y3BQRdxj49704DOM","operational-confirmed"
"2022-7-1387","RIOS LATTE BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ-XRL5Qe_wxQRisIPg4Yuv1s","operational-confirmed"
"2022-7-1474","RİNG BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJbb4GsRC_wxQRhTE_0iWHDLc","operational-confirmed"
"8539","RİVİERA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJT7SmK5ui3BQRR3rVCS6e3L0","operational-confirmed"
"2456","RİVİERA ZEN OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJEb0ygVKj3BQRqWYpAeCTljY","operational-confirmed"
"24745","ROSE GARDEN PREMİUM HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJq3Qpop23wxQRhUMrGGBEbXk","operational-confirmed"
"2022-7-0740","ROSELLA HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJAb3MVHyZ3BQRLrkEJcIcm_M","operational-confirmed"
"8056","ROYAL ATLANTİS","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJ5xbXCwBfwxQRGZMRVCliVS4","operational-confirmed"
"10404","ROYAL ATLANTİS SPA & RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJ5xbXCwBfwxQRGZMRVCliVS4","operational-confirmed"
"2022-7-1214","ROYAL OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJfb0XpPai3BQRl2IByIMl4kk","operational-confirmed"
"2022-7-1498","SANDY BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJn0yhvbiZ3BQRA0cLJ4ZPd6Y","operational-confirmed"
"2022-7-1374","SANTANA HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJZZBaKQm_wxQR4L_VGBD9yt8","operational-confirmed"
"2022-7-0584","SELÇUKHAN HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ82hLF6i_wxQRVS7zXvFxyB8","operational-confirmed"
"18610","SENZA GARDEN HOLIDAY CLUB HOTEL","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","ALANYA","ChIJK_jpf8il3BQRQ_GAmoFTk9Q","operational-confirmed"
"2022-7-0619","SETTE SERENITY OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJPW6Lg1OY3BQRLS49RLLFcfE","operational-confirmed"
"4365","SEVEN SEAS PALMERAS BAY HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJY8LGIV2l3BQReIdj34Pfg1o","operational-confirmed"
"18682","SİMPLY FİNE HOTEL ALİZE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJt5i7mCyZ3BQR-CvwkOb_gBs","operational-confirmed"
"4919","SİRİUS OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJ7fd4m_GZ3BQRtBZ_j0XWuB4","operational-confirmed"
"8429","SULTAN SİPAHİ RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ6w4BbJui3BQR8CTSZnHYCBQ","operational-confirmed"
"2022-7-0628","SUN VERA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ_QRhcaCj3BQRT2SH1s_AMhk","operational-confirmed"
"5052","SUNNY HİLL ALYA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJGyXBuZ2i3BQRH_6s_rljLoo","operational-confirmed"
"11828","TAÇ PREMIER HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJL4Mk4Aqa3BQRP7g9M5NMOWY","operational-confirmed"
"2022-7-0644","TAL BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ4VUrSX25wxQRr_k5eYOj6SA","operational-confirmed"
"2022-7-0568","TEMİZ OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJJavJKHeY3BQRRoZMz3xwtso","operational-confirmed"
"8591","TİME BEACH OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ9dG4HACj3BQRl3qUVC7pG0o","operational-confirmed"
"27393","TOLENZA HOTELS","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJf3KEAkmj3BQRFua5dPQwPQg","operational-confirmed"
"24164","VILLA SUNFLOWER HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJcZb12X6Y3BQR1ggAs-ZaYuY","operational-confirmed"
"12023","WHİTE GOLD","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJaYZp0lKY3BQRH65Xcbe28K4","operational-confirmed"
"1459","WIEN STAR OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ8WT7G16Y3BQRkRE7q0_DlmE","operational-confirmed"
"12435","XPERIA SARAY BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ_-bFV4Wi3BQR6b_en732VhA","operational-confirmed"
"2022-7-0739","YAMAN LİFE OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJBZYVR1eY3BQRLolt-VKZjwo","operational-confirmed"
"8641","YILDIRIMOĞLU","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJLXTfuHyY3BQR3t7lefowmDo","operational-confirmed"
